iter	RMSE
922	70265.33835
923	70234.2352
924	70207.52188
925	70192.4956
926	70170.15907
927	70135.38491
928	70111.71058
929	70081.00896
930	70064.1482
931	70035.66339
932	70006.8306
933	69976.54058
934	69949.5522
935	69921.96739
936	69907.1252
937	69888.72236
938	69847.27879
939	69830.01633
940	69802.32668
941	69783.733
942	69770.56515
943	69749.3013
944	69722.32971
945	69695.11836
946	69663.25839
947	69648.19704
948	69620.65421
949	69594.4528
950	69579.2583
951	69551.93958
952	69520.71549
953	69478.02048
954	69457.87253
955	69434.09642
956	69410.58599
957	69383.90209
958	69348.82587
959	69315.88829
960	69292.18031
961	69241.85125
962	69213.87303
963	69185.40643
964	69157.91755
965	69132.55304
966	69109.45237
967	69072.05472
968	69035.81837
969	69011.04219
970	68990.57116
971	68972.7711
972	68944.77376
973	68908.09668
974	68886.24821
975	68860.33125
976	68826.79869
977	68800.60323
978	68770.06127
979	68744.66428
980	68728.56692
981	68705.08529
982	68679.05887
983	68652.06232
984	68641.17713
985	68618.4828
986	68592.06241
987	68572.81953
988	68559.36867
989	68516.60113
990	68498.80748
991	68481.12357
992	68446.03672
993	68428.97587
994	68400.99081
995	68373.48465
996	68343.33942
997	68304.76512
998	68274.9913
999	68249.92221
